#
# Output of MDDF
# Trajectory files and weights:
#  /home/leandro/Drive/Alunos/Ivan/PCCP_revision/6Mnative.dcd - w = 1.0
#
# Density of solvent in simulation box (sites/A^3):      0.02203
# Density of solvent in bulk (estimated) (sites/A^3):      0.04667
# Molar volume of solvent in simulation (cc/mol):     27.34161
# Molar volume of solvent in bulk (estimated) (cc/mol):     12.90442
#
# Number of atoms solute: 46187
# Number of atoms of the solvent: 37
#
#
# Average and standard deviation of bulk-gmd:      0.48457 +/-      0.10334
#
# Average and standard deviation of bulk-gmd:      0.48457 +/-      0.10334
#
# COLUMNS CORRESPOND TO: 
#       1  Minimum distance to solute (dmin)
#       2  GMD distribution (md count normalized by md count of random-solute distribution)
#       3  Kirwood-Buff integral (cc/mol) computed [(1/bulkdensity)*(col(6)-col(7))].
#       4  Minimum distance site count for each dmin.
#       5  Minimum distance site count for each dmin for random solute distribution.
#       6  Cumulative number of molecules within dmin in the simulation.
#       7  Cumulative number of molecules within dmin for random solute distribution.
#       8  Volume of the shell of distance dmin and width binstep.
#
#   1-DISTANCE         2-GMD      3-KB INT    4-MD COUNT  5-COUNT RAND      6-SUM MD    7-SUM RAND   8-SHELL VOL
   0.9901010     0.0000000  -1.61763e+04     0.0000000   200.7195000     0.0000000   200.7195000   1.39150e+03
   1.0100990     0.0000000  -1.66571e+04     0.0000000   202.5930000     0.0000000   202.5930000   1.50093e+03
   1.0300971     0.0000000  -1.71311e+04     0.0000000   179.3280000     0.0000000   179.3280000   1.53550e+03
   1.0500952     0.0000000  -1.76035e+04     0.0000000   179.2670000     0.0000000   179.2670000   1.62101e+03
   1.0700934     0.0000000  -1.80648e+04     0.0000000   163.8395000     0.0000000   163.8395000   1.50869e+03
   1.0900917     0.0000000  -1.85194e+04     0.0000000   175.5780000     0.0000000   175.5780000   1.55725e+03
   1.1100901     0.0000000  -1.89666e+04     0.0000000   162.2935000     0.0000000   162.2935000   1.60320e+03
   1.1300885     0.0000000  -1.94128e+04     0.0000000   188.2540000     0.0000000   188.2540000   1.67556e+03
   1.1500869     0.0000000  -1.98461e+04     0.0000000   173.7570000     0.0000000   173.7570000   1.56317e+03
   1.1700855     0.0000000  -2.02721e+04     0.0000000   185.4725000     0.0000000   185.4725000   1.68798e+03
   1.1900840     0.0000000  -2.06881e+04     0.0000000   166.0875000     0.0000000   166.0875000   1.66771e+03
   1.2100826     0.0000000  -2.10933e+04     0.0000000   152.6685000     0.0000000   152.6685000   1.47750e+03
   1.2300813     0.0000000  -2.14883e+04     0.0000000   142.2750000     0.0000000   142.2750000   1.61071e+03
   1.2500800     0.0000000  -2.18764e+04     0.0000000   157.0060000     0.0000000   157.0060000   1.72608e+03
   1.2700787     0.0000000  -2.22501e+04     0.0000000   160.4500000     0.0000000   160.4500000   1.62760e+03
